Expediente,Órgano contratante,Tipo organismo,Objeto del contrato,CPV,Importe (€),Estado,Fecha límite,Días restantes,Prioridad,Enlace expediente,Detectada el,Notas del agente,Revisado,Asignado a,Notas comerciales
28394/2026,Ayuntamiento de Adeje,Ayuntamiento,Sistema dinámico de adquisición para suministro de software,"48450000,48451000,48440000",1605000,Abierta,2030-09-20,1464,Alta,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/20336224,2026-09-17,Encaje directo por código CPV,,,
04/2026,COFIVACASA (SEPI),Otro organismo público,Licencia de uso de software de fichaje horario en remoto y mantenimiento,"35125200,48450000",1248,Resuelta,2026-06-09,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/19724374,2026-09-17,Encaje directo por código CPV,,,
79/2026,Fundación Canaria Fomento del Transporte,Fundación,Sistema integral de control horario del personal,35125200,8316,En evaluación,2026-06-03,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/19705766,2026-09-17,Encaje directo por código CPV,,,
SER-TFC-02/2026,Viviendas Sociales e Infraestructuras de Canarias,Otro organismo público,Cesión del derecho de uso en modalidad SaaS,48450000,68480,Resuelta,2026-04-04,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/19245900,2026-09-17,Encaje directo por código CPV,,,
2026/D22200/006-202/00007,Diputación de Almería,Diputación,Suscripción de una solución software de gestión integral,48000000,1738638,Abierta,2026-09-21,4,Media,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/20328976,2026-09-17,Detectada por el texto del objeto,,,
3493 2026,Ayuntamiento de Villaquilambre,Ayuntamiento,Ampliación y adaptación a la nueva normativa del control de presencia,35125200,21154,En evaluación,2026-08-18,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/20232210,2026-09-17,Encaje directo por código CPV,,,
202605PNG001,Ministerio de Sanidad,Otro organismo público,Mantenimiento de los dispositivos de fichaje y control de acceso físico,50316000,22763,Adjudicada,2026-06-09,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/20329221,2026-09-17,Detectada por el texto del objeto,,,
SUMIN/ABR_SMPL/AY/2021000030,Ayuntamiento de Calahorra,Ayuntamiento,"Suministro e implantación de programa de nóminas, gestión de personal, portal de empleado y control",48000000,60000,Resuelta,2021-08-13,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/7940859,2026-09-17,Detectada por el texto del objeto,,,
2026/039,Ayuntamiento de Cádiz,Ayuntamiento,Mantenimiento de la aplicación RH-SP de gestión de recursos humanos y nóminas,72267000,73334,Resuelta,2026-06-25,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/20233309,2026-09-17,Detectada por el texto del objeto,,,
2026110001,Train Port Barcelona,Otro organismo público,"Asesoría fiscal, contable y laboral",79631000,65340,Resuelta,2026-05-08,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/19550799,2026-09-17,Encaje directo por código CPV,,,
L26-SERV-06,Mogán Gestión Municipal,Otro organismo público,Gestión del tiempo de trabajo y control horario del personal,35125200,19260,Abierta,2026-09-02,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/20311203,2026-09-17,Encaje directo por código CPV,,,
1326,"IHOBE (Gestión Ambiental, País Vasco)",Otro organismo público,"Gestión, tramitación y asesoramiento en materia de nóminas y seguridad social",90720000,70000,Resuelta,2022-04-26,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/9625422,2026-09-17,Detectada por el texto del objeto,,,
115/2026,Consell Comarcal del Moianès,Consell comarcal,Gestió administrativa laboral i assessorament,79631000,88497,En evaluación,2026-06-04,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/19718783,2026-09-17,Encaje directo por código CPV,,,
X2026000658,Mancomunitat La Plana,Mancomunidad,Suport jurídic i gestió en matèria de personal,79631000,161843,Adjudicada,2026-06-16,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/19914376,2026-09-17,Encaje directo por código CPV,,,
PL-2026.002,Fundació I-CERCA (Catalunya),Fundación,Serveis de gestoria i assessorament laboral,79631000,58500,Abierta,2026-06-24,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/19824638,2026-09-17,Encaje directo por código CPV,,,
A/SER-008695/2026,Hospital Universitario Ramón y Cajal,Universidad,Sistema de información integral para la digitalización de archivos,72000000,720250,Abierta,2026-09-14,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/20294268,2026-09-17,Detectada por el texto del objeto,,,
Exp. 1135/2026,Ajuntament de Caldes d'Estrac,Ayuntamiento,"Gestió de nòmines, fiscal i seguretat social del personal",79631000,65856,Abierta,2026-09-16,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/20362834,2026-09-17,Encaje directo por código CPV,,,
2608MS01,Corporació Catalana de Mitjans Audiovisuals,Otro organismo público,Contractació de sistema de control horari,35125200,5040,Abierta,2026-09-08,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/20358028,2026-09-17,Encaje directo por código CPV,,,
P10035865,Eusko Trenbideak (Ferrocarriles Vascos),Otro organismo público,Asistencia en materia de organización y recursos humanos,79414000,469200,Abierta,2026-07-09,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/19858334,2026-09-17,Detectada por el texto del objeto,,,
AZPGK/S/26-0009,AZPIEGITURAK (País Vasco),Otro organismo público,Asistencia a la dirección de servicios corporativos,79631000,99750,En evaluación,2026-07-01,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/19882819,2026-09-17,Encaje directo por código CPV,,,
AJCOR0701142026,Ajuntament de Corbera de Llobregat,Ayuntamiento,Solució informàtica integral SaaS amb software i hardware,72263000,174828,Abierta,2026-06-25,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/19841513,2026-09-17,Detectada por el texto del objeto,,,
2026OB0019,Mercabarna (Mercados de Abastecimientos de Barcelona),Otro organismo público,Desarrollo e implantación de un sistema,48450000,370603,Abierta,2026-09-07,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/20265591,2026-09-17,Encaje directo por código CPV,,,
1445/2026,Ajuntament de Navàs,Ayuntamiento,Ús d'un software en modalitat SaaS,48450000,215854,Abierta,2026-07-28,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/20132943,2026-09-17,Encaje directo por código CPV,,,
2026SER81,Universitat de Lleida,Universidad,"Implantació, migració de dades i manteniment del sistema de gestió de persones",48450000,1200000,Abierta,2026-09-07,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/20194183,2026-09-17,Encaje directo por código CPV,,,
CTE Serveis 03/2026,Gavanenca Terrenys i Immobles,Otro organismo público,Serveis professionals d'assessoria i gestió laboral,79631000,14974,Abierta,2026-07-21,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/19968651,2026-09-17,Encaje directo por código CPV,,,
3111/2026,Ajuntament de la Seu d'Urgell,Ayuntamiento,Serveis SaaS per a la gestió de nòmines i portal de l'empleat,48000000,372428,Abierta,2026-10-14,27,Media,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/20430479,2026-09-17,Detectada por el texto del objeto,,,
2026/7322,Ajuntament de Tordera,Ayuntamiento,"Implantació, parametrització, migració de dades i formació",72200000,135954,Abierta,2026-07-14,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/19953279,2026-09-17,Detectada por el texto del objeto,,,
2026/0007303,Diputació de Barcelona,Diputación,"Manteniment correctiu i normatiu, desenvolupament de noves funcionalitats",72267000,897873,Resuelta,2026-06-04,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/19600980,2026-09-17,Detectada por el texto del objeto,,,
UdG-2026-0012,Universitat de Girona,Universidad,Renovació del programari de control horari eTempo,48450000,3800,Abierta,2026-09-02,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/20132395,2026-09-17,Encaje directo por código CPV,,,
CO2026054RH,Ajuntament de Sant Joan Despí,Ayuntamiento,Cessió de dret d'ús de software i manteniment en modalitat SaaS,72611000,210945,Adjudicada,2026-07-31,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/20422683,2026-09-17,Detectada por el texto del objeto,,,
2003_PL26/0015,NASERTIC (Navarra),Otro organismo público,Sistema integrado de control de presencia,48000000,215600,Adjudicada,,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/19718960,2026-09-17,Detectada por el texto del objeto,,,
3167_2026/SCON-ASU/000008,Servicios de la Comarca de Pamplona,Otro organismo público,"Suscripción, soporte y evolución del sistema de nómina",72267000,262280,Resuelta,,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/19611144,2026-09-17,Detectada por el texto del objeto,,,
BIS2026/015,Fundación BiscayTIK,Fundación,"Nuevos despliegues de los módulos de RRHH y Nóminas, Atari y BiscayTIME",72212900,360000,Resuelta,2026-06-02,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/19709907,2026-09-17,Detectada por el texto del objeto,,,
061/26,Fomento de San Sebastián,Otro organismo público,Asesoría laboral para gestión y tramitación,79631000,59425,Abierta,2026-09-03,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/20318854,2026-09-17,Encaje directo por código CPV,,,
C174-2026-4116,Ajuntament de Premià de Mar,Ayuntamiento,"Gestión integral de los recursos humanos (nómina, control horario)",72268000,274285,Resuelta,2026-06-15,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/19701231,2026-09-17,Detectada por el texto del objeto,,,
2782/2026,Ajuntament de l'Ametlla de Mar,Ayuntamiento,Manteniment i renovació del BPO de nòmines,79211110,77440,Resuelta,2026-06-23,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/20384721,2026-09-17,Detectada por el texto del objeto,,,
X2026000545,Consorci del Parc Natural de Collserola,Consorcio,Servei de gestió de nòmines del personal,79631000,49587,Abierta,2026-09-25,8,Alta,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/20383916,2026-09-17,Encaje directo por código CPV,,,
1993/2025,Ajuntament de la Torre de Claramunt,Ayuntamiento,Adhesió a l'acord marc de l'ACM de control horari,35125200,10000,Resuelta,,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/19858235,2026-09-17,Encaje directo por código CPV,,,
PA 21-26,Fundación Investigación Biomédica Hospital Clínico,Sanidad,Asesoramiento laboral y trabajos sociolaborales,79631000,499200,Abierta,2026-10-01,14,Alta,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/20366461,2026-09-17,Encaje directo por código CPV,,,
2026/1166,Ajuntament de Sallent,Ayuntamiento,Subministrament d'una solució informàtica,48330000,136752,Abierta,2026-07-16,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/19968654,2026-09-17,Detectada por el texto del objeto,,,
EXPT26-00063,Sociedad Andaluza para el Desarrollo de las Telecomunicaciones,Otro organismo público,Apoyo técnico-administrativo en materia de gestión de personas,79631000,402397,Abierta,2026-08-28,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/20171971,2026-09-17,Encaje directo por código CPV,,,
X2026000447,Ajuntament d'Amer,Ayuntamiento,Sistema de control horari i aparells de registre,35125200,6030,Abierta,2026-09-18,1,Media,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/20368782,2026-09-17,Encaje directo por código CPV,,,
1431-7397/2025,Ajuntament de Montgat,Ayuntamiento,"Subministrament, instal·lació i manteniment d'un sistema d'informació",72265000,84402,Abierta,2026-08-25,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/20283722,2026-09-17,Detectada por el texto del objeto,,,
1865/2026,Ajuntament de Vallirana,Ayuntamiento,Consultoria i assessorament de RRHH,79414000,30000,Abierta,2026-07-17,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/19983058,2026-09-17,Detectada por el texto del objeto,,,
OSA-20/2026,Serveis Ambientals de Castelldefels,Otro organismo público,Llicència i implantació SaaS d'aplicació de gestió laboral,"79631000,48450000",47440,Abierta,2026-08-04,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/20132461,2026-09-17,Encaje directo por código CPV,,,
4715/2025,Ajuntament de Berga,Ayuntamiento,Implantació i manteniment d'una plataforma informàtica,48450000,166283,Resuelta,2026-05-04,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/19516230,2026-09-17,Encaje directo por código CPV,,,
4025/2026,Ajuntament de Vila-seca,Ayuntamiento,Manteniment del programari núvol de gestió integral dels recursos humans,72262000,507384,Adjudicada,2026-08-04,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/20371626,2026-09-17,Detectada por el texto del objeto,,,
SE 55/26,Universitat Rovira i Virgili,Universidad,Manteniment dels mòduls d'UNIVERSITAS XXI (inclou Recursos Humans),72267000,1510768,Resuelta,2026-07-07,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/20251735,2026-09-17,Detectada por el texto del objeto,,,
CTTE1225,Tractament i Selecció de Residus,Otro organismo público,Acord marc de consultoria de recursos humans,79600000,200000,Abierta,2026-09-30,13,Media,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/20346783,2026-09-17,Detectada por el texto del objeto,,,
077_26000007,Consorci Mercat de les Flors,Consorcio,Servei integral de control horari,35125200,18800,Abierta,2026-09-22,5,Alta,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/20371776,2026-09-17,Encaje directo por código CPV,,,
5579/2026,Ajuntament de Palamós,Ayuntamiento,Programa informàtic per a la gestió integrada de Recursos Humans,48000000,199695,Abierta,2026-07-30,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/20132720,2026-09-17,Detectada por el texto del objeto,,,
X2026002981,Ajuntament de Sant Joan de Vilatorrada,Ayuntamiento,Contracte mixt de subministrament de gestió de personal,72263000,89454,Abierta,2026-09-14,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/20360869,2026-09-17,Detectada por el texto del objeto,,,
PCP-2606,IDIBELL,Otro organismo público,Externalització de la gestió de nòmines,79211110,186000,Resuelta,2026-04-09,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/19269872,2026-09-17,Detectada por el texto del objeto,,,
2026/32/1403,Consell Comarcal del Gironès,Consell comarcal,Implantació i manteniment en modalitat de lloguer,48900000,17050,Consulta previa,,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/20366376,2026-09-17,Detectada por el texto del objeto,,,
2026-07 ICN2,Institut Català de Nanociència i Nanotecnologia,Otro organismo público,Llicència i eina de gestió,72267000,76020,Adjudicada,2026-06-19,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/19701078,2026-09-17,Detectada por el texto del objeto,,,
SI26003,Reus Serveis Municipals,Otro organismo público,Equips i servei integral de suport d'un sistema de control de presència,35125200,110640,Abierta,2026-09-28,11,Alta,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/20364562,2026-09-17,Encaje directo por código CPV,,,
159/2026,Consorci d'Aigües de Tarragona,Consorcio,Consultoria especialitzada en Recursos Humans,79414000,42000,Abierta,2026-09-16,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/20364649,2026-09-17,Detectada por el texto del objeto,,,
160/2026,Consorci d'Aigües de Tarragona,Consorcio,Solució integral de gestió de recursos humans en modalitat SaaS,30211300,57750,Abierta,2026-09-16,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/20364650,2026-09-17,Detectada por el texto del objeto,,,
2608OB01,Corporació Catalana de Mitjans Audiovisuals,Otro organismo público,Contractació de solució de RRHH,48450000,3054779,Abierta,2026-10-02,15,Alta,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/20353383,2026-09-17,Encaje directo por código CPV,,,
X2026000965,Consell Comarcal del Pla de l'Estany,Consell comarcal,Llicències d'ús del programari de control horari,35125200,36749,En evaluación,2026-07-22,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/19810611,2026-09-17,Encaje directo por código CPV,,,
2026/00000002B,Comu Sant Quirze del Vallès,Otro organismo público,Assessorament en gestió laboral,79631000,31680,Resuelta,,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/18844827,2026-09-17,Encaje directo por código CPV,,,
X2026000638,Ajuntament de Sant Vicenç de Castellet,Ayuntamiento,"Implantació, ús i manteniment d'un software en modalitat SaaS",48450000,136000,Adjudicada,2026-05-08,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/19554424,2026-09-17,Encaje directo por código CPV,,,
15013699,Transports de Barcelona (TMB),Empresa pública,Manteniment de Control de Presència i rellotges de marcatge,50312600,93210,Resuelta,2026-07-17,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/20289587,2026-09-17,Detectada por el texto del objeto,,,
CONTR 2026 0000169792,Agencia Digital de Andalucía,Comunidad Autónoma,Desarrollo y gestión del sistema de control de presencia de la Junta,72262000,876174,Abierta,2026-08-26,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/20258706,2026-09-17,Detectada por el texto del objeto,,,
2025 2046,Ajuntament de Parets del Vallès,Ayuntamiento,Contractació promoguda pel departament de Recursos Humans,79414000,40000,Resuelta,2025-11-03,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/18224331,2026-09-17,Detectada por el texto del objeto,,,
2026/0011669,Diputació de Barcelona,Diputación,Solució informàtica SaaS de gestió d'expedients,72267000,157519,Abierta,2026-10-15,28,Media,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/20360290,2026-09-17,Detectada por el texto del objeto,,,
8004330008-2025-0021924,Diputació de Tarragona,Diputación,Sistema de gestió del temps laboral per al personal,72416000,408707,Resuelta,2026-03-18,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/18938306,2026-09-17,Detectada por el texto del objeto,,,
6/2026/CSOH,Ajuntament de Rubí,Ayuntamiento,Contracte mixt d'implantació i subscripció SaaS de control horari,"35125200,48450000",279466,Abierta,2026-09-29,12,Alta,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/20353401,2026-09-17,Encaje directo por código CPV,,,
2026F038000006,Ajuntament de Salt,Ayuntamiento,Solució informàtica en modalitat SaaS,48450000,228405,Abierta,2026-07-31,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/19976182,2026-09-17,Encaje directo por código CPV,,,
2026/9678P,Ajuntament de Blanes,Ayuntamiento,"Implantació, ús i manteniment d'un software en modalitat SaaS",48450000,301506,Abierta,2026-08-03,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/20133528,2026-09-17,Encaje directo por código CPV,,,
CO 14/2026,SECOMSA,Otro organismo público,Gestoria i assessorament laboral,79631000,306437,Abierta,2026-09-21,4,Media,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/20331801,2026-09-17,Encaje directo por código CPV,,,
6012600105,Metro de Madrid,Empresa pública,Soporte y mantenimiento de la aplicación de gestión del talento,72267000,154400,Resuelta,,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/19882908,2026-09-17,Detectada por el texto del objeto,,,
ACJ-2026-21,Agència Catalana de la Joventut,Otro organismo público,Servei de nòmina i gestió dels recursos humans,79631000,35000,Resuelta,2026-02-18,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/18968652,2026-09-17,Encaje directo por código CPV,,,
CONTR 2025 0000528153,Servicio Andaluz de Salud,Sanidad,Mantenimiento de las soluciones digitales corporativas,72222300,29396808,Resuelta,2025-09-26,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/17885924,2026-09-17,Detectada por el texto del objeto,,,
6259,LANTIK (Bizkaia),Otro organismo público,Soporte y mantenimiento del control de accesos y control horario de BEAZ,72267000,34500,Abierta,2026-07-17,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/19968628,2026-09-17,Detectada por el texto del objeto,,,
1005/2026,Ajuntament d'Ascó,Ayuntamiento,Gestoria i assessorament laboral i de Seguretat Social,79631000,120030,Resuelta,2026-05-21,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/19649650,2026-09-17,Encaje directo por código CPV,,,
FIB 2025/029,Fundación Investigación Biomédica,Fundación,Asesoramiento y gestión laboral,79631000,93240,Resuelta,2025-06-23,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/17423828,2026-09-17,Encaje directo por código CPV,,,
2026-028,Serveis Mediambientals de la Selva NORA,Otro organismo público,Llicències informàtiques i manteniment integral del software,72262000,13536,Adjudicada,2026-07-02,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/20289666,2026-09-17,Detectada por el texto del objeto,,,
2025/0043440,Organisme Autònom de Gestió Tributària,Otro organismo público,Migració de l'aplicació de gestió integral de recursos humans RHSP,"72212450,48450000",821549,Resuelta,2026-02-05,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/18798226,2026-09-17,Encaje directo por código CPV,,,
ESP69/CSUC2218/C3,Universitat Oberta de Catalunya,Universidad,Eina tecnològica especialitzada per al procés de gestió,48000000,434875,Adjudicada,2026-07-09,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/20258695,2026-09-17,Detectada por el texto del objeto,,,
2025 2044,Ajuntament de Parets del Vallès,Ayuntamiento,Contractació promoguda pel departament de Recursos Humans,80560000,77430,Resuelta,2025-08-04,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/17698851,2026-09-17,Detectada por el texto del objeto,,,
8004330008-2026-0002518,Diputació de Tarragona,Diputación,Manteniment del programari de gestió de nòmines i recursos humans (Peoplenet),72200000,590806,Resuelta,2026-04-24,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/20251643,2026-09-17,Detectada por el texto del objeto,,,
PcPG/2024/823997,AMTEGA (Galicia),Otro organismo público,"Desarrollo, soporte y mantenimiento de la plataforma",72200000,3998678,Resuelta,2024-12-09,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/15981914,2026-09-17,Detectada por el texto del objeto,,,
POH-MX-IDI-2026-002,Institut de Diagnòstic per la Imatge,Otro organismo público,Implantació i subscripció SaaS de gestió de nòmines,79211110,732537,Resuelta,2026-05-25,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/19569632,2026-09-17,Detectada por el texto del objeto,,,
3188_ABR0016/2026,Universidad (Rectorado),Universidad,Implantación y despliegue de una aplicación de gestión de personal,48000000,700000,Abierta,2026-08-03,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/19981526,2026-09-17,Detectada por el texto del objeto,,,
HM-2026-129,Consorci Mar Parc de Salut de Barcelona,Consorcio,Software per a la gestió de la selecció i reclutament,48450000,76721,Abierta,2026-08-19,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/20229421,2026-09-17,Encaje directo por código CPV,,,
8085_PL26_0012,Corporación Pública Empresarial de Navarra,Otro organismo público,Software gestión laboral 2026-2027,48450000,36964,Adjudicada,,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/20229465,2026-09-17,Encaje directo por código CPV,,,
579/2025,Ajuntament de l'Arboç,Ayuntamiento,Suport tècnic professional en matèria de personal,79414000,22858,Resuelta,2026-04-24,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/19424471,2026-09-17,Detectada por el texto del objeto,,,
X2025000065,Fundació Auditori Palau de Congressos de Girona,Fundación,Assessorament i gestió laboral,79631000,54275,Resuelta,2026-01-29,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/18837872,2026-09-17,Encaje directo por código CPV,,,
X2026002503,Ajuntament de Premià de Dalt,Ayuntamiento,Programa informàtic per a la gestió integral de personal,35125200,166284,Adjudicada,2026-06-05,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/19983111,2026-09-17,Encaje directo por código CPV,,,
X2026003312,Ajuntament de Santpedor,Ayuntamiento,Solució SaaS de control horari i gestió de personal,"35125200,48450000,72212450",101109,Abierta,2026-08-17,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/20193961,2026-09-17,Encaje directo por código CPV,,,
X2026000098,Consorci de l'Estany,Consorcio,Serveis generals en matèria laboral del personal,79631000,12801,Abierta,2026-07-14,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/19961000,2026-09-17,Encaje directo por código CPV,,,
2444/2026,Ajuntament d'Abrera,Ayuntamiento,Subministrament i manteniment d'un sistema d'informació de personal,72910000,108126,Resuelta,2026-06-15,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/19889695,2026-09-17,Detectada por el texto del objeto,,,
01040603/2026/9,Ajuntament de Sant Pere de Ribes,Ayuntamiento,Suport per la migració del programari de personal,48450000,116658,Resuelta,2026-05-19,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/20153247,2026-09-17,Encaje directo por código CPV,,,
03/2026,Residencia de ancianos de Basauri,Otro organismo público,Servicio de Asesoría Laboral,79631000,55200,Abierta,2026-07-09,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/19935180,2026-09-17,Encaje directo por código CPV,,,
3032/2026,Ajuntament de Santa Margarida i els Monjos,Ayuntamiento,Manteniment i allotjament cloud del control horari,72500000,12744,Resuelta,2026-07-02,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/20153232,2026-09-17,Detectada por el texto del objeto,,,
AJT/145539/2025,Ajuntament de l'Hospitalet de Llobregat,Ayuntamiento,Subministrament i instal·lació de nous terminals de control horari,35125200,106241,Adjudicada,2026-06-11,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/20147414,2026-09-17,Encaje directo por código CPV,,,
X2026000255,Ajuntament de Verges,Ayuntamiento,Contractació de serveis de gestió de personal,79211000,72400,Abierta,2026-08-11,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/20132092,2026-09-17,Detectada por el texto del objeto,,,
X2026000017,Ajuntament de Montmeló,Ayuntamiento,Contracte mixt d'implantació i subscripció SaaS,48450000,213996,Resuelta,2026-05-20,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/19667618,2026-09-17,Encaje directo por código CPV,,,
2459/2026,Ajuntament del Morell,Ayuntamiento,"Llicència d'ús, suport i manteniment",48450000,138244,Resuelta,,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/20132281,2026-09-17,Encaje directo por código CPV,,,
LICFP 26/26,Hospital de la Santa Creu i Sant Pau,Sanidad,Gestió administrativa laboral i assessorament,79631000,174793,Abierta,2026-08-05,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/20132308,2026-09-17,Encaje directo por código CPV,,,
CLILAB PN-2026-01,Consorci del Laboratori de l'Alt Penedès,Consorcio,Implantació del mòdul de Direcció per Objectius,72200000,164191,Resuelta,2026-05-05,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/20132468,2026-09-17,Detectada por el texto del objeto,,,
